# SYSTEM INFORMATION FOLLOWS
# emon db : alderlake
# num_packages : 1
# num_modules_per_package : 1
# num_cores_per_package : 12
# num_logic_processor_per_core : 2
# device bigcore : num_events 10, num_unit 1
# device smallcore : num_events 10, num_unit 1
# tsc_freq : 2419.20 MHz
# ufs_freq : N/A MHz
# END OF SYSTEM INFORMATION
# GROUPING INFORMATION FOLLOWS
# group 0 : INST_RETIRED.ANY, CPU_CLK_UNHALTED.THREAD, CPU_CLK_UNHALTED.REF_TSC, DTLB_LOAD_MISSES.WALK_PENDING, TOPDOWN.SLOTS:perf_metrics, IDQ.DSB_UOPS:u0x2C, L1D.REPLACEMENT, L2_RQSTS.REFERENCES, FP_ARITH_DISPATCHED.PORT_0:u0x43, UOPS_EXECUTED.CORE
# END OF GROUPING INFORMATIONS
# START OF COLLECTION
timestamp;;package0;;;;;;;;;;;;;;;;;;;;
;;bigcore;;;;;;;;;;;;;;;;;;;;
epoch;timestamp;CPU0;;;;;;;;;;CPU1;;;;;;;;;;
;;INST_RETIRED.ANY;CPU_CLK_UNHALTED.THREAD;CPU_CLK_UNHALTED.REF_TSC;DTLB_LOAD_MISSES.WALK_PENDING;TOPDOWN.SLOTS:perf_metrics;IDQ.DSB_UOPS:u0x2C;L1D.REPLACEMENT;L2_RQSTS.REFERENCES;FP_ARITH_DISPATCHED.PORT_0:u0x43;UOPS_EXECUTED.CORE;INST_RETIRED.ANY;CPU_CLK_UNHALTED.THREAD;CPU_CLK_UNHALTED.REF_TSC;DTLB_LOAD_MISSES.WALK_PENDING;TOPDOWN.SLOTS:perf_metrics;IDQ.DSB_UOPS:u0x2C;L1D.REPLACEMENT;L2_RQSTS.REFERENCES;FP_ARITH_DISPATCHED.PORT_0:u0x43;UOPS_EXECUTED.CORE;;;;;;;;;;;;;;;;;;;;;
1663004066232;37751957;3718371;3645197;1917657;255358;20907552;5296613;45838;270676;0;5166919;242369;528055;255843;60984;2305656;437814;9923;41298;0;547703;
1663004066248;37600433;117316;149162;277641;6661;661722;171257;3247;14846;0;222096;61694;87969;71568;3889;325002;96605;1709;6097;1;163474;
1663004066263;37697130;109080;114548;195426;5402;479346;142795;2870;10432;0;198911;57369;83453;65205;2556;277440;84655;1476;4671;0;157579;
1663004066279;37691556;101810;105346;200277;5619;417000;129658;2700;9058;0;194636;61244;70610;78813;2023;277308;88837;1557;4956;0;141522;
1663004066295;37681317;103168;103331;192276;4951;413232;128710;2688;8600;0;189525;59984;74171;73017;4105;264930;84602;1643;5161;0;147189;
1663004066310;37699412;101882;100796;187677;5057;401808;126193;2623;8518;0;188619;61345;70779;69678;2755;258234;86184;1594;4451;0;145675;
1663004066326;37754076;61350;89605;156618;4497;394392;97928;2285;8327;0;126043;117243;114848;95886;8235;564198;155504;2547;10790;0;185337;
1663004066341;37620930;127412;102426;203301;5431;596748;165127;2341;8638;0;169178;22528;34052;16632;1942;168642;34829;833;2889;0;42519;
1663004066357;37693596;103270;101781;189882;4855;409242;127807;2666;8600;0;190252;62633;74640;72324;3732;269610;89598;1777;4966;0;153221;
1663004066373;37742519;79662;191960;234423;25264;643836;142608;3215;13144;0;270126;121128;132393;64134;5962;515328;155108;2578;9070;0;204742;
1663004066388;37675965;128899;141187;278775;12991;747876;179684;3667;13494;0;200300;41620;39634;19026;1985;205200;59905;795;2781;0;68542;
1663004066404;37701928;103487;106906;199206;5284;431808;132132;2735;8957;0;190087;59178;75388;75663;3017;265530;82581;1478;4750;0;148228;
1663004066420;37693757;126792;291521;280791;45940;820086;204843;5099;17696;0;420836;138043;228074;135513;22836;739002;201414;3450;14017;0;335647;
